stage_num;H2O_1;H2O_2;Q1;Q2;H2Oconc_1;H2Oconc_2;SO2flow;O2flow;N2flow;T
3;468.958100558661;0;20;0;1;1;9.73743016759768;94.8128491620111;23.4188575418994;27.3618018018018
4;970.016806722688;0;20;0;1;1;9.7591036414565;94.8711484593836;22.9162885154062;26.5323214285714
5;1470.64507042254;0;20;0;1;1;9.76338028169006;94.9492957746478;22.4185521126761;25.7491964285714
6;1970.70422535211;0;20;0;1;1;9.74084507042246;94.8732394366196;21.9157830985915;24.5574107142857
7;2471.5350140056;0;20;0;1;1;9.76750700280104;94.9467787114845;21.4151512605042;23.1148648648649
8;2972.16713091923;0;20;0;1;1;9.78272980501384;94.9192200557102;20.9131364902507;21.9442342342342
9;3472.75350140056;0;20;0;1;1;9.68067226890748;94.8235294117647;20.4119103641457;21.0816964285714
10;3973.06162464986;0;20;0;1;1;9.73669467787107;94.7787114845938;19.9115966386555;20.4132142857143
11;4473.74366197185;0;20;0;1;1;9.70985915492949;94.8366197183098;19.4105267605634;19.8235714285714
12;4973.91643454041;0;20;0;1;1;9.70752089136482;94.8690807799442;18.9095431754875;19.3725
13;3973.24157303371;0;20;0;1;1;9.7303370786516;94.8230337078651;19.9130280898877;19.3198214285714
14;1970.78873239436;0;20;0;1;1;9.67605633802809;94.8985915492958;21.9157352112676;21.1432432432432
15;969.868715083798;0;20;0;1;1;9.67318435754182;94.7290502793296;22.9152569832402;23.6713513513513
