,N2,N2O,NO_mean,NO_median
0,6000,0,1.09118,0.960096
1,6000,250,1.39555,1.33013
2,6000,400,1.564657,1.50515
3,6000,600,1.736327,1.73017
4,6000,800,1.991309,1.93019
5,6000,1000,2.001738,2.0002
6,6000,1200,2.342235,2.33023
7,6000,1400,2.466716,2.44024
8,6000,1600,2.625263,2.59526
9,6000,1800,2.677267,2.650265
10,6000,2000,2.865289,2.820285
11,5000,3000,3.67481,3.68037
12,4000,4000,4.287096,4.27043
13,3000,5000,4.821731,4.83048
14,3500,4500,4.69847,4.67047
15,4500,3500,4.062907,3.945395
16,4500,3000,4.024777,3.970395
17,6000,2500,3.701799,3.69537
18,6000,1500,3.198012,3.14031
19,6000,1300,3.001966,3.0253
20,6000,900,2.384684,2.38024
21,6000,700,2.236225,2.19022
22,6000,500,1.922858,1.93019
23,6000,300,1.584159,1.48015
