,N2,N2O,NO
0,,,1.15012
1,6000.0,250.0,1.61016
2,6000.0,400.0,1.87519
3,6000.0,600.0,2.30023
4,6000.0,800.0,2.52025
5,6000.0,1000.0,3.0303
6,6000.0,1200.0,3.20032
7,6000.0,1400.0,3.57036
8,6000.0,1600.0,3.87539
9,6000.0,1800.0,4.08041
10,6000.0,2000.0,4.27043
11,5000.0,3000.0,5.770580000000001
12,4000.0,4000.0,6.865685
13,3000.0,5000.0,7.77078
14,3500.0,4500.0,7.53075
15,4500.0,3500.0,6.42564
16,4500.0,3000.0,6.29063
17,6000.0,2500.0,4.84048
18,6000.0,1500.0,3.6553649999999998
19,6000.0,1300.0,3.4753499999999997
20,6000.0,900.0,2.89029
21,6000.0,700.0,2.60026
22,6000.0,500.0,2.16022
23,6000.0,300.0,1.81018
24,6000.0,0.0,1.4751500000000002
25,6000.0,0.0,1.35014
26,6000.0,0.0,0.890089
27,6000.0,0.0,0.9650965
